ptp4l[20966.240]: selected /dev/ptp0 as PTP clock
ptp4l[20966.293]: port 1: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20966.293]: port 0: INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[20969.803]: port 1: LISTENING to MASTER on ANNOUNCE_RECEIPT_TIMEOUT_EXPIRES
ptp4l[20969.804]: selected local clock 6cb311.fffe.52a2ff as best master
ptp4l[20969.804]: port 1: assuming the grand master role
ptp4l[20969.870]: port 1: new foreign master 008082.fffe.865e74-1
ptp4l[20971.870]: selected best master clock 008082.fffe.865e74
ptp4l[20971.871]: port 1: MASTER to UNCALIBRATED on RS_SLAVE
ptp4l[20972.505]: port 1: UNCALIBRATED to SLAVE on MASTER_CLOCK_SELECTED
ptp4l[20973.255]: rms 3346 max 4437 freq +15665 +/- 2330 delay    27 +/-   0
ptp4l[21036.262]: rms   14 max   19 freq +11985 +/-   4 delay    28 +/-   0
ptp4l[21037.262]: rms    8 max   13 freq +11987 +/-   4 delay    28 +/-   0
ptp4l[21038.262]: rms   10 max   12 freq +11998 +/-   4 delay    28 +/-   0
ptp4l[21039.262]: rms    6 max   11 freq +12000 +/-   3 delay    28 +/-   0
ptp4l[21040.262]: rms    4 max    7 freq +11993 +/-   5 delay    28 +/-   0
ptp4l[21041.262]: rms    5 max    9 freq +11986 +/-   4 delay    28 +/-   0
ptp4l[21042.262]: rms    6 max    8 freq +11978 +/-   3 delay    28 +/-   0
ptp4l[21043.263]: rms    6 max    9 freq +11975 +/-   5 delay    28 +/-   0
ptp4l[21044.263]: rms    3 max    5 freq +11982 +/-   4 delay    28 +/-   0
ptp4l[21045.263]: rms   10 max   15 freq +11998 +/-   5 delay    28 +/-   0
ptp4l[21046.263]: rms    5 max    9 freq +11992 +/-   6 delay    28 +/-   0
ptp4l[21047.263]: rms    3 max    6 freq +11993 +/-   4 delay    28 +/-   0
ptp4l[21048.263]: rms    9 max   16 freq +11980 +/-   9 delay    28 +/-   0
ptp4l[21049.263]: rms   18 max   22 freq +11951 +/-   8 delay    28 +/-   0
ptp4l[21050.263]: rms   14 max   18 freq +11940 +/-   4 delay    29 +/-   0
ptp4l[21051.263]: rms   11 max   20 freq +11969 +/-  10 delay    28 +/-   0
ptp4l[21052.263]: rms   20 max   25 freq +11999 +/-   8 delay    28 +/-   0
ptp4l[21053.264]: rms   14 max   17 freq +12009 +/-   4 delay    28 +/-   0
